Error,D,Type
0.147555,2,Test_Parallel_KN1
0.0,2,Val_Parallel_KN1
0.14392999999999997,2,Test_Diagonal_KN1
0.0,2,Val_Diagonal_KN1
0.15005,2,Test_Parallel_KNK
0.08099999999999995,2,Val_Parallel_KNK
0.14282,2,Test_Diagonal_KNK
0.07249999999999998,2,Val_Diagonal_KNK
0.157535,4,Test_Parallel_KN1
0.0,4,Val_Parallel_KN1
0.15396500000000005,4,Test_Diagonal_KN1
0.0,4,Val_Diagonal_KN1
0.15758,4,Test_Parallel_KNK
0.09299999999999997,4,Val_Parallel_KNK
0.15417499999999998,4,Test_Diagonal_KNK
0.08399999999999996,4,Val_Diagonal_KNK
0.179715,8,Test_Parallel_KN1
0.0,8,Val_Parallel_KN1
0.18123999999999998,8,Test_Diagonal_KN1
0.0,8,Val_Diagonal_KN1
0.18681000000000003,8,Test_Parallel_KNK
0.08449999999999999,8,Val_Parallel_KNK
0.18475500000000003,8,Test_Diagonal_KNK
0.09349999999999999,8,Val_Diagonal_KNK
0.208325,16,Test_Parallel_KN1
0.0,16,Val_Parallel_KN1
0.21367499999999998,16,Test_Diagonal_KN1
0.0,16,Val_Diagonal_KN1
0.20912499999999995,16,Test_Parallel_KNK
0.09474999999999997,16,Val_Parallel_KNK
0.21854500000000004,16,Test_Diagonal_KNK
0.11074999999999999,16,Val_Diagonal_KNK
0.2693500000000001,32,Test_Parallel_KN1
0.0,32,Val_Parallel_KN1
0.25691500000000006,32,Test_Diagonal_KN1
0.0,32,Val_Diagonal_KN1
0.272065,32,Test_Parallel_KNK
0.12949999999999998,32,Val_Parallel_KNK
0.25936,32,Test_Diagonal_KNK
0.12300000000000003,32,Val_Diagonal_KNK
